idVendas;dscOrdemVendas;qtdUnidadeVendas;vlrVendas;Clientes_idClientes;Produto_idProduto;Funcionario_matFuncionario;datVendas
1;Ordem 1;100;1000;1;11;10;01/01/2020
2;Ordem 2;540;5400;1;1;20;01/01/2020
3;Ordem 3;21;210;2;20;30;01/01/2020
4;Ordem 4;160;1600;3;13;40;01/01/2020
5;Ordem 5;1201;12010;4;150;50;01/01/2020
6;Ordem 6;1000;10000;5;167;60;01/01/2020
7;Ordem 7;800;8000;6;50;70;01/01/2020
8;Ordem 8;400;4000;7;50;80;01/01/2020
9;Ordem 9;600;6000;8;64;90;01/01/2020
10;Ordem 10;100;1000;9;80;100;01/01/2020
11;Ordem 11;200;2000;10;12;110;01/01/2020
12;Ordem 12;300;3000;11;1;120;01/01/2020
13;Ordem 13;400;4000;12;2;130;02/01/2020
14;Ordem 14;500;5000;13;3;140;02/01/2020
15;Ordem 15;600;6000;14;4;150;02/01/2020
16;Ordem 16;700;7000;15;5;160;02/01/2020
17;Ordem 17;800;8000;16;6;10;02/01/2020
18;Ordem 18;900;9000;17;7;20;02/01/2020
19;Ordem 19;1000;10000;18;8;30;02/01/2020
20;Ordem 20;1100;11000;19;9;40;02/01/2020
21;Ordem 21;1200;12000;20;10;50;02/01/2020
22;Ordem 22;1300;13000;21;11;60;02/01/2020
23;Ordem 23;1400;14000;22;12;70;02/01/2020
24;Ordem 24;1500;15000;23;13;80;02/01/2020
25;Ordem 25;1600;16000;24;14;90;02/01/2020
26;Ordem 26;1700;17000;25;15;100;02/01/2020
27;Ordem 27;1800;18000;26;16;110;02/01/2020
28;Ordem 28;100;1000;27;17;120;03/01/2020
29;Ordem 29;200;2000;28;18;130;03/01/2020
30;Ordem 30;300;3000;29;19;140;03/01/2020
31;Ordem 31;400;4000;30;20;150;03/01/2020
32;Ordem 32;500;5000;31;21;160;03/01/2020
33;Ordem 33;600;6000;32;22;10;03/01/2020
34;Ordem 34;700;7000;33;23;20;03/01/2020
35;Ordem 35;800;8000;34;24;30;03/01/2020
36;Ordem 36;900;9000;35;25;40;03/01/2020
37;Ordem 37;1000;10000;36;26;50;03/01/2020
38;Ordem 38;1100;11000;37;27;60;03/01/2020
39;Ordem 39;1200;12000;38;28;70;03/01/2020
40;Ordem 40;1300;13000;39;29;80;03/01/2020
41;Ordem 41;1400;14000;40;30;90;03/01/2020
42;Ordem 42;1500;15000;41;31;100;03/01/2020
43;Ordem 43;1600;16000;42;32;110;03/01/2020
44;Ordem 44;1700;17000;43;33;120;03/01/2020
45;Ordem 45;1800;18000;44;34;130;03/01/2020
46;Ordem 46;100;1000;45;35;140;03/01/2020
47;Ordem 47;200;2000;46;36;150;03/01/2020
48;Ordem 48;300;3000;47;37;160;03/01/2020
49;Ordem 49;400;4000;48;38;10;03/01/2020
50;Ordem 50;500;5000;49;39;20;03/01/2020
51;Ordem 51;600;6000;50;40;30;03/01/2020
52;Ordem 52;700;7000;51;41;40;03/01/2020
53;Ordem 53;800;8000;52;42;50;03/01/2020
54;Ordem 54;900;9000;53;43;60;03/01/2020
55;Ordem 55;1000;10000;54;44;70;03/01/2020
56;Ordem 56;1100;11000;55;45;80;04/01/2020
57;Ordem 57;1200;12000;56;46;90;04/01/2020
58;Ordem 58;1300;13000;57;47;100;04/01/2020
59;Ordem 59;1400;14000;58;48;110;04/01/2020
60;Ordem 60;1500;15000;59;49;120;04/01/2020
61;Ordem 61;1600;16000;60;50;130;04/01/2020
62;Ordem 62;1700;17000;61;51;140;04/01/2020
63;Ordem 63;1800;18000;62;52;150;04/01/2020
64;Ordem 64;100;1000;63;53;160;04/01/2020
65;Ordem 65;200;2000;64;54;10;04/01/2020
66;Ordem 66;300;3000;65;55;20;04/01/2020
67;Ordem 67;400;4000;66;56;30;04/01/2020
68;Ordem 68;500;5000;67;57;40;04/01/2020
69;Ordem 69;600;6000;68;58;50;04/01/2020
70;Ordem 70;700;7000;69;59;60;04/01/2020
71;Ordem 71;800;8000;70;60;70;04/01/2020
72;Ordem 72;900;9000;10;61;80;04/01/2020
73;Ordem 73;1000;10000;11;62;90;04/01/2020
74;Ordem 74;1100;11000;12;63;100;04/01/2020
75;Ordem 75;1200;12000;13;64;110;04/01/2020
76;Ordem 76;1300;13000;14;65;120;04/01/2020
77;Ordem 77;1400;14000;15;66;130;04/01/2020
78;Ordem 78;1500;15000;16;67;140;04/01/2020
79;Ordem 79;1600;16000;17;68;150;04/01/2020
80;Ordem 80;1700;17000;18;69;160;04/01/2020
81;Ordem 81;1800;18000;19;70;10;05/01/2020
82;Ordem 82;100;1000;20;71;20;05/01/2020
83;Ordem 83;200;2000;21;72;30;05/01/2020
84;Ordem 84;300;3000;22;73;40;05/01/2020
85;Ordem 85;400;4000;23;74;50;05/01/2020
86;Ordem 86;500;5000;20;75;60;05/01/2020
87;Ordem 87;600;6000;30;76;70;05/01/2020
88;Ordem 88;700;7000;40;1;80;05/01/2020
